device,cells,rank,consumers,arm,mode,block,domain_id,domain_name,gross_mJ,seconds,operations
cuda,144,32,3,G,idle,0,gpu0,GPU board,86866,1.0010270942002535,0
cuda,144,32,3,G,write,0,gpu0,GPU board,103428,1.0005201399326324,10250
cuda,144,32,3,G,read,0,gpu0,GPU board,99077,1.0012232214212418,14910
cuda,144,32,3,C,idle,0,gpu0,GPU board,94544,1.0010340129956603,0
cuda,144,32,3,C,write,0,gpu0,GPU board,102573,1.00046157091856,12020
cuda,144,32,3,C,read,0,gpu0,GPU board,100085,1.001967272721231,12420
cuda,144,32,3,F,idle,0,gpu0,GPU board,92996,1.0010258872061968,0
cuda,144,32,3,F,write,0,gpu0,GPU board,105260,1.0001864833757281,24980
cuda,144,32,3,F,read,0,gpu0,GPU board,100066,1.0006817979738116,17190
cuda,144,32,3,E,write,0,gpu0,GPU board,106978,1.0003727916628122,19120
cuda,144,32,3,E,read,0,gpu0,GPU board,100137,1.0019964603707194,13260
cuda,144,32,3,E,idle,0,gpu0,GPU board,95962,1.0010362025350332,0
cuda,144,32,3,A,read,0,gpu0,GPU board,91110,1.000264560803771,15930
cuda,144,32,3,A,write,0,gpu0,GPU board,93110,1.0004904735833406,16400
cuda,144,32,3,A,idle,0,gpu0,GPU board,89646,1.0010526049882174,0
cuda,144,32,3,B,write,0,gpu0,GPU board,92368,1.0000877929851413,113790
cuda,144,32,3,B,idle,0,gpu0,GPU board,90913,1.0010356660932302,0
cuda,144,32,3,B,read,0,gpu0,GPU board,92207,1.0011467719450593,19230
cuda,144,32,3,D,read,0,gpu0,GPU board,91844,1.0009904988110065,19230
cuda,144,32,3,D,write,0,gpu0,GPU board,104132,1.0006825849413872,14100
cuda,144,32,3,D,idle,0,gpu0,GPU board,97504,1.0010270178318024,0
cuda,144,32,3,C,write,1,gpu0,GPU board,107800,1.0005374271422625,14090
cuda,144,32,3,C,idle,1,gpu0,GPU board,97027,1.0010330379009247,0
cuda,144,32,3,C,read,1,gpu0,GPU board,99961,1.0018717804923654,14700
cuda,144,32,3,E,idle,1,gpu0,GPU board,89978,1.0010265354067087,0
cuda,144,32,3,E,write,1,gpu0,GPU board,104604,1.0000190502032638,22160
cuda,144,32,3,E,read,1,gpu0,GPU board,104628,1.001663844101131,15810
cuda,144,32,3,B,write,1,gpu0,GPU board,106272,1.000040141865611,112800
cuda,144,32,3,B,read,1,gpu0,GPU board,92609,1.0005126539617777,19110
cuda,144,32,3,B,idle,1,gpu0,GPU board,91376,1.001030758023262,0
cuda,144,32,3,F,read,1,gpu0,GPU board,92109,1.0008402485400438,18930
cuda,144,32,3,F,write,1,gpu0,GPU board,105387,1.000313876196742,22320
cuda,144,32,3,F,idle,1,gpu0,GPU board,99044,1.0010293191298842,0
