cells,rank,payload_bytes,consumers,reuse,comparison,median_difference_us,ci_low,ci_high,winner,inference
36,16,2304,1,1,E minus C,-0.6259999999999994,-0.7920000000000007,-0.45700000000000074,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,1,G minus C,-0.2919999999999998,-0.5,-0.29100000000000037,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,1,G minus F,0.16699999999999982,0.12400000000000055,0.41600000000000037,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,2,E minus C,-1.6259999999999994,-1.7080000000000002,-1.3330000000000002,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,2,G minus C,-1.4580000000000002,-1.6679999999999993,-1.3320000000000007,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,2,G minus F,0.16600000000000037,0.125,0.2510000000000012,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,4,E minus C,-3.4990000000000006,-3.6679999999999993,-3.417,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,4,G minus C,-3.375,-3.542,-3.25,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,4,G minus F,0.0,-0.041999999999999815,0.29299999999999926,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,8,E minus C,-7.834000000000003,-8.331999999999997,-7.084999999999997,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,8,G minus C,-7.459,-8.249999999999996,-7.125999999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,8,G minus F,0.12399999999999878,-0.21099999999999852,0.7929999999999993,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,16,E minus C,-14.708999999999996,-14.998000000000005,-14.207,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,16,G minus C,-15.122,-15.207,-14.622,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,16,G minus F,-0.45600000000000307,-0.5810000000000031,-0.25,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,32,E minus C,-30.918000000000006,-37.92,-30.085000000000008,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,32,G minus C,-31.82499999999999,-39.66499999999999,-30.665000000000006,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,32,G minus F,-1.1659999999999968,-2.4939999999999998,1.5389999999999873,unresolved,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,64,E minus C,-60.96000000000001,-71.005,-59.417,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,64,G minus C,-63.58699999999999,-70.75299999999999,-62.46300000000002,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,1,64,G minus F,-2.415999999999997,-4.170000000000016,-0.5409999999999968,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
