device,case_id,family,cells,rank,consumers,reuse,working_records,cache,arm,payload_bytes_per_record,stored_payload_bytes,serialized_metadata_bytes,resident_metadata_bytes,record_headers_bytes,read_write_ratio,implementation_sha256,median_total_us,ci_low,ci_high,median_write_us,read_p50_us,read_p95_us,read_p99_us,energy_gross_mJ_per_amortized_read,max_peak_gpu_bytes,blocks
cpu,0,core,36,32,1,1,1,warm,A,4608,4608,0,0,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,107.47,107.144,120.78399999999999,55.848,51.651,51.651,51.651,,,11
cpu,0,core,36,32,1,1,1,warm,B,4608,4608,0,0,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,61.687,51.301,71.494,13.818,47.556,47.556,47.556,,,11
cpu,0,core,36,32,1,1,1,warm,C,4608,4608,36,288,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,150.833,124.156,167.23700000000002,73.263,77.093,77.093,77.093,,,11
cpu,0,core,36,32,1,1,1,warm,D,4608,4608,36,288,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,211.439,191.584,238.738,77.807,134.69,134.69,134.69,,,11
cpu,0,core,36,32,1,1,1,warm,E,4608,4608,0,0,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,131.297,112.98599999999999,151.015,78.707,52.59,52.59,52.59,,,11
cpu,0,core,36,32,1,1,1,warm,F,4608,4608,0,0,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,146.881,110.39699999999999,153.872,79.349,55.758,55.758,55.758,,,11
cpu,0,core,36,32,1,1,1,warm,G,4608,4608,0,0,16,1.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,164.902,149.131,170.467,101.497,55.801,55.801,55.801,,,11
cpu,1,core,36,32,1,2,1,warm,A,4608,4608,0,0,16,2.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,113.19300000000001,112.194,123.753,41.799,35.605000000000004,37.7299,37.91878,,,11
cpu,1,core,36,32,1,2,1,warm,B,4608,4608,0,0,16,2.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,78.323,76.436,79.85499999999999,10.47,33.9295,34.6591,34.72862,,,11
cpu,1,core,36,32,1,2,1,warm,C,4608,4608,36,288,16,2.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,167.54,165.911,180.226,55.058,55.9895,56.9037,57.00794,,,11
