device,case_id,family,cells,rank,payload_bytes,consumers,reuse,working_records,cache,comparison,median_difference_us,ci_low,ci_high,winner,test_effect_mean_us,raw_p,test,multiple_testing_family,corrected_p
cpu,0,core,36,32,4608,1,1,1,warm,E minus C,-15.295000000000016,-19.05000000000001,-12.004000000000019,E,-15.71527272727274,0.001953125,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,0,core,36,32,4608,1,1,1,warm,D minus C,63.966999999999985,52.821,70.82499999999999,C,67.33836363636364,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,0,core,36,32,4608,1,1,1,warm,G minus F,17.697000000000003,13.363999999999976,24.76800000000003,F,20.199363636363636,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,0,core,36,32,4608,1,1,1,warm,F minus D,-80.09899999999999,-89.27699999999999,-62.521000000000015,F,-79.04981818181818,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,0,core,36,32,4608,1,1,1,warm,E minus D,-82.82900000000001,-87.18299999999999,-77.90900000000005,E,-83.05363636363637,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,1,core,36,32,4608,1,2,1,warm,E minus C,-37.617999999999995,-46.87200000000004,-29.471000000000004,E,-38.539454545454554,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,1,core,36,32,4608,1,2,1,warm,D minus C,86.19,69.27899999999997,114.39100000000002,C,92.4800909090909,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,1,core,36,32,4608,1,2,1,warm,G minus F,13.212999999999994,11.24799999999999,22.435000000000002,F,12.997818181818179,0.00390625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,1,core,36,32,4608,1,2,1,warm,F minus D,-126.63400000000001,-161.676,-99.67399999999998,F,-129.1878181818182,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,1,core,36,32,4608,1,2,1,warm,E minus D,-126.22400000000005,-153.748,-115.661,E,-131.01954545454544,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,2,core,36,32,4608,1,4,1,warm,E minus C,-60.655,-67.78699999999998,-58.173,E,-61.68918181818182,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,2,core,36,32,4608,1,4,1,warm,D minus C,137.06699999999998,130.64999999999998,147.14400000000006,C,139.24118181818181,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,2,core,36,32,4608,1,4,1,warm,G minus F,12.696000000000026,0.0519999999999925,13.796999999999997,F,8.239363636363636,0.0205078125,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
