cells,rank,payload_bytes,consumers,reuse,arm,stored_payload_bytes,serialized_metadata_bytes,resident_map_bytes,accounted_resident_bytes,max_adapter_payload_bytes,median_total_us,ci_low,ci_high,median_write_us,read_p50_us,read_p95_us,read_p99_us,blocks,scope,energy_mJ
36,16,2304,1,1,A,2304,16,0,2320,0,2.667,2.6260000000000003,2.834,0.542,2.125,2.125,2.125,9,CPU synthetic smoke,
36,16,2304,1,1,B,2304,16,0,2320,0,2.7089999999999996,2.625,2.792,0.5,2.167,2.167,2.167,9,CPU synthetic smoke,
36,16,2304,1,1,C,2304,52,288,2644,2304,5.584,5.5,5.9990000000000006,2.292,3.292,3.292,3.292,9,CPU synthetic smoke,
36,16,2304,1,1,D,2304,52,288,2644,2048,8.333,8.25,8.917,2.333,6.0,6.0,6.0,9,CPU synthetic smoke,
36,16,2304,1,1,E,2304,16,0,2320,0,5.0,4.958,5.375,2.75,2.291,2.291,2.291,9,CPU synthetic smoke,
36,16,2304,1,1,F,2304,16,0,2320,0,5.0009999999999994,4.958,5.292,2.709,2.292,2.292,2.292,9,CPU synthetic smoke,
36,16,2304,1,1,G,2304,16,0,2320,0,5.208,5.125,5.708,3.0,2.209,2.209,2.209,9,CPU synthetic smoke,
36,16,2304,1,2,A,2304,16,0,2320,0,4.709,4.667,4.833,0.583,2.0835,2.11875,2.12375,9,CPU synthetic smoke,
36,16,2304,1,2,B,2304,16,0,2320,0,4.791,4.667,5.0,0.542,2.125,2.1628,2.1661599999999996,9,CPU synthetic smoke,
36,16,2304,1,2,C,2304,52,288,2644,2304,8.791,8.667,8.999,2.333,3.229,3.3226,3.3309200000000003,9,CPU synthetic smoke,
36,16,2304,1,2,D,2304,52,288,2644,2048,14.083,13.959,14.542,2.333,5.8955,5.98955,5.99791,9,CPU synthetic smoke,
36,16,2304,1,2,E,2304,16,0,2320,0,7.291,7.083,7.416,2.791,2.25,2.2878,2.29059,9,CPU synthetic smoke,
36,16,2304,1,2,F,2304,16,0,2320,0,7.166,7.0009999999999994,7.25,2.75,2.208,2.24585,2.24917,9,CPU synthetic smoke,
36,16,2304,1,2,G,2304,16,0,2320,0,7.291,7.2490000000000006,7.3759999999999994,3.0,2.1465,2.20275,2.20775,9,CPU synthetic smoke,
36,16,2304,1,4,A,2304,16,0,2320,0,8.708,8.667,8.918,0.583,2.0415,2.083,2.083,9,CPU synthetic smoke,
36,16,2304,1,4,B,2304,16,0,2320,0,8.75,8.584,8.917,0.542,2.0625,2.08385,2.08397,9,CPU synthetic smoke,
36,16,2304,1,4,C,2304,52,288,2644,2304,14.667,14.542,15.0,2.291,3.0625,3.2188,3.24376,9,CPU synthetic smoke,
36,16,2304,1,4,D,2304,52,288,2644,2048,25.583,25.375999999999998,25.751,2.292,5.792,5.98125,5.99625,9,CPU synthetic smoke,
36,16,2304,1,4,E,2304,16,0,2320,0,11.125,10.999,11.416,2.667,2.0835,2.23125,2.24625,9,CPU synthetic smoke,
36,16,2304,1,4,F,2304,16,0,2320,0,11.166,11.0,11.626,2.708,2.104,2.23125,2.24625,9,CPU synthetic smoke,
36,16,2304,1,4,G,2304,16,0,2320,0,11.293,11.166,11.626,2.917,2.0625,2.2249499999999998,2.24499,9,CPU synthetic smoke,
36,16,2304,1,8,A,2304,16,0,2320,0,17.372999999999998,16.625,17.666999999999998,0.583,2.083,2.1523,2.1640599999999997,9,CPU synthetic smoke,
36,16,2304,1,8,B,2304,16,0,2320,0,17.582,16.46,17.749,0.583,2.1045,2.167,2.167,9,CPU synthetic smoke,
36,16,2304,1,8,C,2304,52,288,2644,2304,28.168,26.542,28.999,2.375,3.208,3.4124999999999996,3.4825,9,CPU synthetic smoke,
36,16,2304,1,8,D,2304,52,288,2644,2048,48.542,47.5,51.25,2.375,5.75,6.0624,6.17888,9,CPU synthetic smoke,
36,16,2304,1,8,E,2304,16,0,2320,0,20.333,19.25,20.667,2.833,2.1455,2.33125,2.36625,9,CPU synthetic smoke,
36,16,2304,1,8,F,2304,16,0,2320,0,20.124000000000002,19.082,20.541,2.791,2.083,2.31655,2.36331,9,CPU synthetic smoke,
36,16,2304,1,8,G,2304,16,0,2320,0,20.168,19.124000000000002,21.041999999999998,3.042,2.0835,2.27555,2.32231,9,CPU synthetic smoke,
36,16,2304,1,16,A,2304,16,0,2320,0,31.959000000000003,31.833000000000002,32.208,0.542,1.9585,2.0105,2.0357,9,CPU synthetic smoke,
