source,sequence,arm,loss,prior_loss
relayout.json,blackswan,natural,0.02184321100332487,0.5075050604912671
relayout.json,breakdance,natural,0.019157763055143214,0.42328683569025044
relayout.json,breakdance-flare,natural,0.018226943764596017,0.329248180498872
relayout.json,bus,natural,0.02879411487055333,0.4813485060555201
relayout.json,car-roundabout,natural,0.01764477410165579,0.3642309764325436
relayout.json,color-run,natural,0.025254620553066598,0.4345461299671222
relayout.json,crossing,natural,0.020683821411149668,0.3530025144549645
relayout.json,dog-gooses,natural,0.023789121609374495,0.39084630278737137
relayout.json,dogs-jump,natural,0.030518276894437802,0.4456321931164199
relayout.json,elephant,natural,0.02319666253680212,0.34359448101875123
relayout.json,goat,natural,0.02599950036976501,0.5508454433676998
relayout.json,hike,natural,0.01859261736599971,0.4685182169668491
relayout.json,kid-football,natural,0.03201837483687184,0.504293812388233
relayout.json,lab-coat,natural,0.021069583659436498,0.35987983007140995
relayout.json,lady-running,natural,0.0182530224691385,0.35114943632147566
relayout.json,lindy-hop,natural,0.015578528217881398,0.346594012882935
relayout.json,longboard,natural,0.020958413286586184,0.4246557689072279
relayout.json,mallard-fly,natural,0.02802627976724422,0.5162775658883086
relayout.json,mallard-water,natural,0.015723634531718555,0.4856578195483749
relayout.json,mbike-trick,natural,0.020431560429972236,0.3786051766290324
relayout.json,miami-surf,natural,0.015105897810755923,0.5407848240705339
relayout.json,motocross-jump,natural,0.026404267025031708,0.508424157547996
relayout.json,paragliding,natural,0.025992001399134802,0.5530483777814944
relayout.json,pigs,natural,0.023863357673924734,0.4847995144753635
relayout.json,planes-water,natural,0.021698090562128205,0.391661906823344
relayout.json,rollerblade,natural,0.022731029682143,0.3882746437561706
relayout.json,scooter-black,natural,0.01585976051731384,0.37164804879907487
relayout.json,stunt,natural,0.02391358183701756,0.3401367483736875
relayout.json,swing,natural,0.021035625374122787,0.3235710749042633
relayout.json,tuk-tuk,natural,0.0219798076285533,0.4119544696425309
relayout.json,blackswan,permuted,0.42764681141071814,0.5075050604912671
relayout.json,breakdance,permuted,0.3804242122259481,0.42328683569025044
relayout.json,breakdance-flare,permuted,0.48489529875645737,0.329248180498872
relayout.json,bus,permuted,0.3845341147019925,0.4813485060555201
relayout.json,car-roundabout,permuted,0.6246778231285256,0.3642309764325436
relayout.json,color-run,permuted,0.36499873627524454,0.4345461299671222
relayout.json,crossing,permuted,0.42924813600158834,0.3530025144549645
relayout.json,dog-gooses,permuted,0.5987874290413703,0.39084630278737137
relayout.json,dogs-jump,permuted,0.4814876875560393,0.4456321931164199
relayout.json,elephant,permuted,0.6707952163793925,0.34359448101875123
relayout.json,goat,permuted,0.43364933683871004,0.5508454433676998
relayout.json,hike,permuted,0.5267062586940839,0.4685182169668491
relayout.json,kid-football,permuted,0.35077736237909735,0.504293812388233
relayout.json,lab-coat,permuted,0.8066647102372726,0.35987983007140995
relayout.json,lady-running,permuted,0.5957540875885529,0.35114943632147566
relayout.json,lindy-hop,permuted,0.37522793408386745,0.346594012882935
relayout.json,longboard,permuted,0.5763487314202604,0.4246557689072279
relayout.json,mallard-fly,permuted,0.35424294322888,0.5162775658883086
relayout.json,mallard-water,permuted,0.34035835815713633,0.4856578195483749
relayout.json,mbike-trick,permuted,0.4808225409422619,0.3786051766290324
relayout.json,miami-surf,permuted,0.40098175421182225,0.5407848240705339
relayout.json,motocross-jump,permuted,0.37045848966618006,0.508424157547996
relayout.json,paragliding,permuted,0.3866461869916549,0.5530483777814944
