reader_grid,store_grid,ratio,residual,group
3,4,1.3333333333333333,0.023846104820694707,below_2
3,5,1.6666666666666667,0.005627032309248867,below_2
3,7,2.3333333333333335,0.0035185982246865068,at_least_2
3,8,2.6666666666666665,0.007415437304601924,at_least_2
3,10,3.3333333333333335,0.001196723041984319,at_least_2
3,11,3.6666666666666665,-0.004697890431004621,at_least_2
4,5,1.25,0.022346724859430865,below_2
4,6,1.5,0.012362064910657777,below_2
4,7,1.75,0.007679153963019478,below_2
4,9,2.25,0.0075453059211822715,at_least_2
4,10,2.5,-0.0036638351179152234,at_least_2
4,11,2.75,-0.006116188450997286,at_least_2
6,7,1.1666666666666667,0.02340884383511333,below_2
6,8,1.3333333333333333,0.01920340228586217,below_2
6,9,1.5,0.00032730624365797517,below_2
6,10,1.6666666666666667,-0.0013457350147405428,below_2
6,11,1.8333333333333333,-0.004355295699924482,below_2
