suite,initial_state_index,same_input_hash_sequence,same_action_shape,same_executed_actions,max_abs_action_difference_common_steps
libero_spatial,1,True,True,True,0.0
libero_spatial,2,True,True,True,0.0
libero_spatial,3,True,True,True,0.0
libero_spatial,4,True,True,True,0.0
libero_spatial,5,True,True,True,0.0
libero_spatial,6,True,True,True,0.0
libero_spatial,7,True,True,True,0.0
libero_spatial,8,True,True,True,0.0
libero_spatial,9,True,True,True,0.0
libero_spatial,10,True,True,True,0.0
libero_spatial,11,True,True,True,0.0
libero_spatial,12,True,True,True,0.0
libero_spatial,13,True,True,True,0.0
libero_spatial,14,True,True,True,0.0
libero_spatial,15,True,True,True,0.0
libero_spatial,16,True,True,True,0.0
libero_spatial,17,True,True,True,0.0
libero_spatial,18,True,True,True,0.0
libero_spatial,19,True,True,True,0.0
libero_spatial,20,True,True,True,0.0
libero_spatial,21,True,True,True,0.0
libero_spatial,22,True,True,True,0.0
libero_spatial,23,True,True,True,0.0
libero_spatial,24,True,True,True,0.0
libero_spatial,25,True,True,True,0.0
libero_spatial,26,True,True,True,0.0
libero_spatial,27,True,True,True,0.0
libero_spatial,28,True,True,True,0.0
libero_spatial,29,True,True,True,0.0
libero_spatial,30,True,True,True,0.0
libero_spatial,31,True,True,True,0.0
libero_spatial,32,True,True,True,0.0
libero_spatial,33,True,True,True,0.0
libero_spatial,34,True,True,True,0.0
libero_spatial,35,True,True,True,0.0
libero_spatial,36,True,True,True,0.0
libero_spatial,37,True,True,True,0.0
libero_spatial,38,True,True,True,0.0
libero_spatial,39,True,True,True,0.0
libero_spatial,40,True,True,True,0.0
libero_object,1,True,True,True,0.0
libero_object,2,True,True,True,0.0
libero_object,3,True,True,True,0.0
libero_object,4,True,True,True,0.0
libero_object,5,True,True,True,0.0
libero_object,6,True,True,True,0.0
libero_object,7,True,True,True,0.0
libero_object,8,True,True,True,0.0
libero_object,9,True,True,True,0.0
libero_object,10,True,True,True,0.0
libero_object,11,True,True,True,0.0
libero_object,12,True,True,True,0.0
libero_object,13,True,True,True,0.0
libero_object,14,True,True,True,0.0
libero_object,15,True,True,True,0.0
libero_object,16,True,True,True,0.0
libero_object,17,True,True,True,0.0
libero_object,18,True,True,True,0.0
libero_object,19,True,True,True,0.0
libero_object,20,True,True,True,0.0
libero_object,21,True,True,True,0.0
libero_object,22,True,True,True,0.0
libero_object,23,True,True,True,0.0
libero_object,24,True,True,True,0.0
libero_object,25,True,True,True,0.0
libero_object,26,True,True,True,0.0
libero_object,27,True,True,True,0.0
libero_object,28,True,True,True,0.0
libero_object,29,True,True,True,0.0
libero_object,30,True,True,True,0.0
libero_object,31,True,True,True,0.0
libero_object,32,True,True,True,0.0
libero_object,33,True,True,True,0.0
libero_object,34,True,True,True,0.0
libero_object,35,True,True,True,0.0
libero_object,36,True,True,True,0.0
libero_object,37,True,True,True,0.0
libero_object,38,True,True,True,0.0
libero_object,39,True,True,True,0.0
libero_object,40,True,True,True,0.0
libero_goal,1,True,True,True,0.0
libero_goal,2,True,True,True,0.0
libero_goal,3,True,True,True,0.0
libero_goal,4,True,True,True,0.0
libero_goal,5,True,True,True,0.0
libero_goal,6,True,True,True,0.0
libero_goal,7,True,True,True,0.0
libero_goal,8,True,True,True,0.0
libero_goal,9,True,True,True,0.0
libero_goal,10,True,True,True,0.0
libero_goal,11,True,True,True,0.0
libero_goal,12,True,True,True,0.0
libero_goal,13,True,True,True,0.0
libero_goal,14,True,True,True,0.0
libero_goal,15,True,True,True,0.0
libero_goal,16,True,True,True,0.0
libero_goal,17,True,True,True,0.0
libero_goal,18,True,True,True,0.0
libero_goal,19,True,True,True,0.0
libero_goal,20,True,True,True,0.0
libero_goal,21,True,True,True,0.0
libero_goal,22,True,True,True,0.0
libero_goal,23,True,True,True,0.0
libero_goal,24,True,True,True,0.0
libero_goal,25,True,True,True,0.0
libero_goal,26,True,True,True,0.0
libero_goal,27,True,True,True,0.0
libero_goal,28,True,True,True,0.0
libero_goal,29,True,True,True,0.0
libero_goal,30,True,True,True,0.0
libero_goal,31,True,True,True,0.0
libero_goal,32,True,True,True,0.0
libero_goal,33,True,True,True,0.0
libero_goal,34,True,True,True,0.0
libero_goal,35,True,True,True,0.0
libero_goal,36,True,True,True,0.0
libero_goal,37,True,True,True,0.0
libero_goal,38,True,True,True,0.0
libero_goal,39,True,True,True,0.0
libero_goal,40,True,True,True,0.0
