policy,processes,median_ops_s,ci_low,ci_high,best_ops_s,n,source,qualification
keep-all,1,69950.47014606428,69039.78127805704,81838.18455313216,81838.18455313216,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
keep-all,2,134843.67895945156,123854.26632392086,141538.9222268469,141538.9222268469,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
keep-all,4,253947.75609019396,235202.00337775284,257035.65712861522,257035.65712861522,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
keep-all,8,459603.40368714137,454471.8522725474,466724.80243766296,466724.80243766296,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
keep-all,16,752348.2721818133,740924.8450745835,1074921.9853265316,1074921.9853265316,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
keep-all,32,1181164.638393226,1074924.837008223,1232448.6356859496,1232448.6356859496,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,1,77854.52494266206,64251.716559761095,83537.86196724292,83537.86196724292,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,2,126587.99388412935,117148.41229545801,131959.80650044978,131959.80650044978,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,4,241771.20240830045,225402.84628811115,244502.2751536897,244502.2751536897,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,8,434679.27658865624,428309.46860231843,438754.93701387406,438754.93701387406,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,16,714123.3317676907,705649.189094609,830742.6353161674,830742.6353161674,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
compact-all,32,1076322.5809531577,1057698.2948829643,1129865.5507631411,1129865.5507631411,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,1,99559.76083253024,93048.89847622483,120574.9891357926,120574.9891357926,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,2,181953.2622578892,181497.60949558776,183358.9343061731,183358.9343061731,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,4,335319.9774000682,296367.29053836426,336608.72456095624,336608.72456095624,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,8,588491.2011366092,579725.893836884,757102.7391304295,757102.7391304295,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,16,961240.3088931392,895319.1070317324,1286787.1774421425,1286787.1774421425,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
ref-aware,32,1368048.2625620263,1075169.6178934486,1436148.3245221034,1436148.3245221034,5,mp_store2.json,"5 shared-host runs; bootstrap CI coarse; frozen slab benchmark, writes do not write"
